year,district_code,district_name,neighbourhood_code,neighbourhood_name,From 6 months to 12 motnhs,Over 12 months,Up to 6 months
2018,2,Eixample,6,la Sagrada Família,3480,8702,11059
2018,2,Eixample,7,la Dreta de l'Eixample,2367,4997,7706
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,2830,5462,8851
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,3855,8766,12305
2018,2,Eixample,10,Sant Antoni,2856,6125,9269
2018,3,Sants-Montjuïc,11,el Poble Sec,4082,8879,13076
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,193,506,549
2018,3,Sants-Montjuïc,13,la Marina de Port,3009,8057,8960
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,1027,2269,3274
2018,3,Sants-Montjuïc,15,Hostafrancs,1291,3087,4028
2018,3,Sants-Montjuïc,16,la Bordeta,1515,3622,4725
2018,3,Sants-Montjuïc,17,Sants - Badal,1572,3976,4901
2018,3,Sants-Montjuïc,18,Sants,3046,7449,9515
2018,4,Les Corts,19,les Corts,3073,7462,9625
2018,4,Les Corts,20,la Maternitat i Sant Ramon,1553,3930,4844
2018,4,Les Corts,21,Pedralbes,432,898,1282
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",194,368,539
2018,5,Sarrià-Sant Gervasi,23,Sarrià,957,1932,2784
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,752,1423,2090
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1101,2203,3354
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,2076,3900,6445
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1719,3652,5679
2018,6,Gràcia,28,Vallcarca i els Penitents,1042,2451,3608
2018,6,Gràcia,29,el Coll,430,1006,1521
2018,6,Gràcia,30,la Salut,931,2166,3066
2018,6,Gràcia,31,la Vila de Gràcia,3568,7800,12364
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,2230,5499,7350
2018,7,Horta-Guinardó,33,el Baix Guinardó,1728,4321,5619
2018,7,Horta-Guinardó,34,Can Baró,670,1560,2195
2018,7,Horta-Guinardó,35,el Guinardó,2768,6967,8985
2018,7,Horta-Guinardó,36,la Font d'en Fargues,850,2199,2702
2018,7,Horta-Guinardó,37,el Carmel,2899,7485,9230
2018,7,Horta-Guinardó,38,la Teixonera,906,2237,2864
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,552,1342,1744
2018,7,Horta-Guinardó,40,Montbau,399,972,1263
2018,7,Horta-Guinardó,41,la Vall d'Hebron,425,1034,1346
2018,7,Horta-Guinardó,42,la Clota,30,72,94
2018,7,Horta-Guinardó,43,Horta,2432,6345,7706
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,2230,5913,7082
2018,8,Nou Barris,45,Porta,2150,5730,6780
2018,8,Nou Barris,46,el Turó de la Peira,1404,3690,4462
2018,8,Nou Barris,47,Can Peguera,198,519,620
2018,8,Nou Barris,48,la Guineueta,1675,4315,4994
2018,8,Nou Barris,49,Canyelles,817,2106,2434
2018,8,Nou Barris,50,les Roquetes,1772,4569,5281
2018,8,Nou Barris,51,Verdun,1359,3502,4048
2018,8,Nou Barris,52,la Prosperitat,2415,6436,7616
2018,8,Nou Barris,53,la Trinitat Nova,1209,2785,3601
2018,8,Nou Barris,54,Torre Baró,334,764,998
2018,8,Nou Barris,55,Ciutat Meridiana,1746,3981,5205
