year,district_code,district_name,neighbourhood_code,neighbourhood_name,1 Spanish,1 foreigner,2 Spanish,2 foreigners,3 Spanish,3 foreigners,4 espanyols o més,more than 4 foreigners,no Spanish,no foreigner
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,159.0,24.0,106.0,9.0,61.0,6.0,98.0,6.0,,
2016,3,Sants-Montjuïc,13,la Marina de Port,3300.0,786.0,3375.0,360.0,2299.0,232.0,2152.0,354.0,,
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,1439.0,434.0,1177.0,186.0,712.0,108.0,560.0,145.0,,
2016,3,Sants-Montjuïc,15,Hostafrancs,2239.0,750.0,1776.0,349.0,1078.0,187.0,818.0,248.0,,
2016,3,Sants-Montjuïc,16,la Bordeta,2245.0,532.0,2244.0,222.0,1501.0,132.0,1131.0,177.0,,
2016,3,Sants-Montjuïc,17,Sants - Badal,3214.0,862.0,2914.0,322.0,1747.0,204.0,1335.0,344.0,,
2016,3,Sants-Montjuïc,18,Sants,5917.0,1686.0,4840.0,573.0,2768.0,346.0,2334.0,475.0,,
2016,4,Les Corts,19,les Corts,5880.0,1436.0,5365.0,438.0,3340.0,262.0,3255.0,301.0,,
2016,4,Les Corts,20,la Maternitat i Sant Ramon,2781.0,706.0,2785.0,227.0,1845.0,154.0,1739.0,175.0,,
2016,4,Les Corts,21,Pedralbes,1058.0,413.0,1030.0,132.0,702.0,84.0,987.0,183.0,,
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",371.0,187.0,371.0,51.0,291.0,25.0,410.0,53.0,,
2016,5,Sarrià-Sant Gervasi,23,Sarrià,2417.0,912.0,2110.0,210.0,1475.0,143.0,2198.0,222.0,,
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,1391.0,477.0,1332.0,154.0,850.0,54.0,1737.0,85.0,,
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,2730.0,924.0,2229.0,232.0,1497.0,109.0,2351.0,141.0,,
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,5915.0,1994.0,4570.0,524.0,2808.0,254.0,3972.0,314.0,,
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,4119.0,1371.0,2958.0,435.0,1844.0,188.0,2227.0,179.0,,
2016,6,Gràcia,28,Vallcarca i els Penitents,2106.0,640.0,1747.0,187.0,1072.0,110.0,1044.0,128.0,,
