year,district_code,district_name,neighborhood_code,neighborhood_name,man_bachelors_degree,man_elementary_school,man_junior_high_school,man_senior_high_school,man_unknown,man_without education,woman_bachelors_degree,woman_elementary_school,woman_junior_high_school,woman_senior_high_school,woman_unknown,woman_without education
2016,3,Sants-Montjuïc,13,la Marina de Port,1555,3456,3663,3068,260,328,2055,4200,3395,2906,232,738
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,1149,756,981,1210,79,92,1451,1032,1020,1103,60,216
2016,3,Sants-Montjuïc,15,Hostafrancs,1792,1383,1510,1755,105,129,2194,1673,1552,1622,70,278
2016,3,Sants-Montjuïc,16,la Bordeta,1571,1502,1989,2201,124,165,2027,2113,2012,1996,92,413
2016,3,Sants-Montjuïc,17,Sants - Badal,2222,2112,2360,2678,156,247,2794,2858,2548,2502,142,565
2016,3,Sants-Montjuïc,18,Sants,4811,2941,3676,4664,281,305,6151,3922,3798,4401,195,792
2016,4,Les Corts,19,les Corts,7893,1796,2853,5447,268,189,8568,2978,3672,5691,219,569
2016,4,Les Corts,20,la Maternitat i Sant Ramon,3625,1142,1678,2821,141,156,4081,1887,1994,2803,127,389
2016,4,Les Corts,21,Pedralbes,2608,175,423,1240,104,11,2408,437,711,1572,130,42
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",721,169,305,530,44,18,803,201,266,536,54,54
2016,5,Sarrià-Sant Gervasi,23,Sarrià,4682,509,996,2566,233,51,5209,1005,1402,2995,214,179
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,3411,193,492,1744,180,13,3484,495,810,2343,131,52
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,5007,530,1002,2923,194,24,5322,928,1538,3600,191,150
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,9629,756,1693,4994,389,44,10295,1671,2756,6867,375,209
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,5523,555,1390,3343,235,53,6443,1104,1891,3990,193,190
2016,6,Gràcia,28,Vallcarca i els Penitents,2287,613,1118,1814,105,82,2812,978,1268,1831,86,228
2016,6,Gràcia,29,el Coll,812,477,665,854,49,61,1028,625,737,876,39,137
2016,6,Gràcia,30,la Salut,1983,534,879,1598,95,53,2498,884,1098,1577,69,163
2016,6,Gràcia,31,la Vila de Gràcia,8034,2365,3305,5652,257,227,10868,3551,3670,5537,212,758
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,5186,1397,2449,4184,187,150,6476,2466,2847,4144,174,469
2016,7,Horta-Guinardó,33,el Baix Guinardó,3053,1391,2235,3197,166,202,3747,2278,2551,3067,131,560
2016,7,Horta-Guinardó,34,Can Baró,855,730,933,1016,65,87,1118,883,913,947,52,243
2016,7,Horta-Guinardó,35,el Guinardó,3835,2185,3337,4527,234,252,4935,3251,3652,4314,188,680
2016,7,Horta-Guinardó,36,la Font d'en Fargues,1082,468,875,1188,79,64,1276,748,909,1076,61,146
2016,7,Horta-Guinardó,37,el Carmel,1287,3529,4334,2779,268,598,1856,4189,3969,2890,227,1124
2016,7,Horta-Guinardó,38,la Teixonera,626,1170,1489,1151,83,168,860,1387,1327,1107,71,353
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,485,641,773,686,68,131,627,767,767,732,39,265
2016,7,Horta-Guinardó,40,Montbau,415,342,487,584,34,92,609,569,538,559,31,232
2016,7,Horta-Guinardó,41,la Vall d'Hebron,630,378,515,697,44,44,808,522,516,618,51,98
2016,7,Horta-Guinardó,42,la Clota,50,59,69,61,4,10,81,40,57,49,6,12
2016,7,Horta-Guinardó,43,Horta,2062,2313,2684,3078,193,344,2888,2960,2705,2970,127,764
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1968,1984,2751,2955,150,272,2771,2900,2914,2763,157,684
2016,8,Nou Barris,45,Porta,1386,2426,2900,2623,168,416,2053,3252,2770,2481,144,822
2016,8,Nou Barris,46,el Turó de la Peira,705,1635,1775,1517,120,254,998,2124,1824,1487,106,659
2016,8,Nou Barris,47,Can Peguera,66,289,305,155,30,29,86,360,291,178,18,90
2016,8,Nou Barris,48,la Guineueta,963,1319,1757,1636,108,201,1300,1886,1758,1560,88,478
2016,8,Nou Barris,49,Canyelles,264,871,957,608,65,105,427,1029,938,550,42,226
2016,8,Nou Barris,50,les Roquetes,411,2137,2173,1092,139,260,618,2326,2020,1167,135,524
2016,8,Nou Barris,51,Verdun,409,1514,1597,975,109,224,697,1810,1590,1083,88,469
2016,8,Nou Barris,52,la Prosperitat,1003,3044,3416,2355,215,543,1551,3630,3267,2396,170,1058
2016,8,Nou Barris,53,la Trinitat Nova,167,987,1057,486,73,94,258,1085,985,522,56,349
2016,8,Nou Barris,54,Torre Baró,75,433,367,165,30,36,104,424,328,160,33,73
2016,8,Nou Barris,55,Ciutat Meridiana,209,1606,1418,628,86,125,306,1681,1255,687,96,245
2016,8,Nou Barris,56,Vallbona,35,200,181,75,13,22,54,197,172,65,17,53
2016,9,Sant Andreu,57,la Trinitat Vella,302,1608,1380,774,108,125,452,1398,1127,684,75,248
2016,9,Sant Andreu,58,Baró de Viver,51,370,381,153,33,21,54,394,351,141,23,83
2016,9,Sant Andreu,59,el Bon Pastor,543,1520,1703,1059,102,145,724,1610,1448,1002,98,296
2016,9,Sant Andreu,60,Sant Andreu,4752,4132,5787,7143,347,437,6592,5639,6134,6283,300,1022
2016,9,Sant Andreu,61,la Sagrera,2362,2187,3036,3522,202,225,3244,3078,3225,3297,163,561
2016,9,Sant Andreu,62,el Congrés i els Indians,1159,950,1426,1690,104,120,1696,1434,1486,1631,92,383
2016,9,Sant Andreu,63,Navas,2092,1463,2199,2807,134,155,2562,2334,2400,2589,122,426
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,4207,2530,3641,4796,209,249,5280,3678,3940,4324,204,702
2016,10,Sant Martí,65,el Clot,2623,1925,2806,3333,202,173,3261,2558,2849,2943,157,465
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1987,981,1311,1784,82,77,2249,1264,1285,1608,83,232
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,1954,236,448,984,86,11,2073,300,509,954,77,49
2016,10,Sant Martí,68,el Poblenou,4006,2256,2955,3783,211,219,4709,2737,2843,3412,171,621
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1936,609,955,1439,93,103,2260,851,907,1263,71,186
2016,10,Sant Martí,70,el Besòs i el Maresme,851,3472,2932,1775,200,375,1134,3025,2676,1739,170,811
2016,10,Sant Martí,71,Provençals del Poblenou,1751,1691,2260,2347,145,183,2179,2046,2157,2155,119,420
2016,10,Sant Martí,72,Sant Martí de Provençals,1745,2353,2968,2941,183,295,2316,3253,3031,2669,147,718
2016,10,Sant Martí,73,la Verneda i la Pau,1282,3142,3638,2946,214,470,1862,3956,3613,2686,188,950
2017,1,Ciutat Vella,1,el Raval,4960,7431,5529,4062,359,264,5082,5280,4143,3439,271,638
2017,1,Ciutat Vella,2,el Barri Gòtic,2717,1454,1575,1802,68,87,3017,1084,1112,1619,56,205
2017,1,Ciutat Vella,3,la Barceloneta,1726,1559,1791,1497,84,152,2037,1549,1528,1362,59,405
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",3806,1871,1919,2371,123,104,4366,1792,1592,2173,113,327
2017,2,Eixample,5,el Fort Pienc,4927,1527,2384,3862,226,123,5806,2195,2779,3773,157,364
2017,2,Eixample,6,la Sagrada Família,7421,2484,4090,6175,302,255,9160,4217,4801,5997,271,751
2017,2,Eixample,7,la Dreta de l'Eixample,9095,1133,2217,4754,299,66,10325,2041,2778,5220,262,362
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8163,1255,2443,5004,260,112,9328,2268,3040,5101,195,400
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,9917,2262,3920,7038,343,173,11450,3975,4798,6944,310,593
