"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Itàlia",26
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Itàlia",225
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Itàlia",176
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Itàlia",94
2020,9,"Sant Andreu",63,"Navas","Dona","Itàlia",165
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Itàlia",472
2020,10,"Sant Martí",65,"el Clot","Dona","Itàlia",282
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Itàlia",285
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Itàlia",147
2020,10,"Sant Martí",68,"el Poblenou","Dona","Itàlia",653
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Itàlia",179
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Itàlia",108
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Itàlia",215
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Itàlia",142
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Itàlia",127
2020,1,"Ciutat Vella",1,"el Raval","Dona","França",434
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","França",312
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","França",152
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","França",418
2020,2,"Eixample",5,"el Fort Pienc","Dona","França",310
2020,2,"Eixample",6,"la Sagrada Família","Dona","França",249
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","França",580
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","França",379
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","França",297
2020,2,"Eixample",10,"Sant Antoni","Dona","França",281
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","França",381
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","França",0
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","França",41
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","França",45
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","França",97
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","França",51
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","França",65
2020,3,"Sants-Montjuïc",18,"Sants","Dona","França",192
2020,4,"Les Corts",19,"les Corts","Dona","França",162
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","França",67
2020,4,"Les Corts",21,"Pedralbes","Dona","França",193
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","França",59
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","França",352
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","França",80
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","França",138
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","França",324
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","França",216
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","França",69
2020,6,"Gràcia",29,"el Coll","Dona","França",30
2020,6,"Gràcia",30,"la Salut","Dona","França",57
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","França",610
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","França",234
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","França",90
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","França",44
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","França",132
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","França",30
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","França",49
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","França",28
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","França",10
2020,7,"Horta-Guinardó",40,"Montbau","Dona","França",7
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","França",6
2020,7,"Horta-Guinardó",42,"la Clota","Dona","França",2
2020,7,"Horta-Guinardó",43,"Horta","Dona","França",45
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","França",33
2020,8,"Nou Barris",45,"Porta","Dona","França",20
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","França",22
2020,8,"Nou Barris",47,"Can Peguera","Dona","França",0
2020,8,"Nou Barris",48,"la Guineueta","Dona","França",18
2020,8,"Nou Barris",49,"Canyelles","Dona","França",3
2020,8,"Nou Barris",50,"les Roquetes","Dona","França",23
2020,8,"Nou Barris",51,"Verdun","Dona","França",17
2020,8,"Nou Barris",52,"la Prosperitat","Dona","França",27
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","França",1
2020,8,"Nou Barris",54,"Torre Baró","Dona","França",1
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","França",1
2020,8,"Nou Barris",56,"Vallbona","Dona","França",2
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","França",7
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","França",1
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","França",8
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","França",70
2020,9,"Sant Andreu",61,"la Sagrera","Dona","França",40
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","França",23
2020,9,"Sant Andreu",63,"Navas","Dona","França",44
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","França",187
2020,10,"Sant Martí",65,"el Clot","Dona","França",78
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","França",105
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","França",90
2020,10,"Sant Martí",68,"el Poblenou","Dona","França",266
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","França",71
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","França",31
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","França",66
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","França",31
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","França",32
2020,1,"Ciutat Vella",1,"el Raval","Dona","Regne Unit",258
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Regne Unit",199
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Regne Unit",91
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Regne Unit",263
2020,2,"Eixample",5,"el Fort Pienc","Dona","Regne Unit",104
2020,2,"Eixample",6,"la Sagrada Família","Dona","Regne Unit",129
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Regne Unit",221
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Regne Unit",141
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Regne Unit",146
2020,2,"Eixample",10,"Sant Antoni","Dona","Regne Unit",141
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Regne Unit",190
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dona","Regne Unit",0
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dona","Regne Unit",17
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dona","Regne Unit",15
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dona","Regne Unit",35
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dona","Regne Unit",14
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dona","Regne Unit",21
2020,3,"Sants-Montjuïc",18,"Sants","Dona","Regne Unit",75
2020,4,"Les Corts",19,"les Corts","Dona","Regne Unit",45
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dona","Regne Unit",20
2020,4,"Les Corts",21,"Pedralbes","Dona","Regne Unit",40
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dona","Regne Unit",31
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dona","Regne Unit",72
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dona","Regne Unit",22
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dona","Regne Unit",44
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dona","Regne Unit",89
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dona","Regne Unit",92
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Dona","Regne Unit",44
2020,6,"Gràcia",29,"el Coll","Dona","Regne Unit",17
2020,6,"Gràcia",30,"la Salut","Dona","Regne Unit",34
2020,6,"Gràcia",31,"la Vila de Gràcia","Dona","Regne Unit",280
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dona","Regne Unit",77
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Dona","Regne Unit",41
2020,7,"Horta-Guinardó",34,"Can Baró","Dona","Regne Unit",10
2020,7,"Horta-Guinardó",35,"el Guinardó","Dona","Regne Unit",51
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dona","Regne Unit",14
2020,7,"Horta-Guinardó",37,"el Carmel","Dona","Regne Unit",22
2020,7,"Horta-Guinardó",38,"la Teixonera","Dona","Regne Unit",10
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dona","Regne Unit",4
2020,7,"Horta-Guinardó",40,"Montbau","Dona","Regne Unit",3
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dona","Regne Unit",5
2020,7,"Horta-Guinardó",42,"la Clota","Dona","Regne Unit",0
2020,7,"Horta-Guinardó",43,"Horta","Dona","Regne Unit",7
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dona","Regne Unit",19
2020,8,"Nou Barris",45,"Porta","Dona","Regne Unit",11
2020,8,"Nou Barris",46,"el Turó de la Peira","Dona","Regne Unit",9
2020,8,"Nou Barris",47,"Can Peguera","Dona","Regne Unit",0
2020,8,"Nou Barris",48,"la Guineueta","Dona","Regne Unit",5
2020,8,"Nou Barris",49,"Canyelles","Dona","Regne Unit",2
2020,8,"Nou Barris",50,"les Roquetes","Dona","Regne Unit",7
2020,8,"Nou Barris",51,"Verdun","Dona","Regne Unit",6
2020,8,"Nou Barris",52,"la Prosperitat","Dona","Regne Unit",10
2020,8,"Nou Barris",53,"la Trinitat Nova","Dona","Regne Unit",2
2020,8,"Nou Barris",54,"Torre Baró","Dona","Regne Unit",0
2020,8,"Nou Barris",55,"Ciutat Meridiana","Dona","Regne Unit",8
2020,8,"Nou Barris",56,"Vallbona","Dona","Regne Unit",0
2020,9,"Sant Andreu",57,"la Trinitat Vella","Dona","Regne Unit",4
2020,9,"Sant Andreu",58,"Baró de Viver","Dona","Regne Unit",0
2020,9,"Sant Andreu",59,"el Bon Pastor","Dona","Regne Unit",1
2020,9,"Sant Andreu",60,"Sant Andreu","Dona","Regne Unit",33
2020,9,"Sant Andreu",61,"la Sagrera","Dona","Regne Unit",11
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Dona","Regne Unit",8
2020,9,"Sant Andreu",63,"Navas","Dona","Regne Unit",21
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dona","Regne Unit",95
2020,10,"Sant Martí",65,"el Clot","Dona","Regne Unit",40
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dona","Regne Unit",61
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dona","Regne Unit",39
2020,10,"Sant Martí",68,"el Poblenou","Dona","Regne Unit",177
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dona","Regne Unit",40
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Dona","Regne Unit",21
2020,10,"Sant Martí",71,"Provençals del Poblenou","Dona","Regne Unit",30
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Dona","Regne Unit",17
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dona","Regne Unit",6
2020,1,"Ciutat Vella",1,"el Raval","Dona","Rússia",147
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dona","Rússia",120
2020,1,"Ciutat Vella",3,"la Barceloneta","Dona","Rússia",85
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dona","Rússia",157
2020,2,"Eixample",5,"el Fort Pienc","Dona","Rússia",100
2020,2,"Eixample",6,"la Sagrada Família","Dona","Rússia",150
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dona","Rússia",229
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dona","Rússia",151
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dona","Rússia",176
2020,2,"Eixample",10,"Sant Antoni","Dona","Rússia",114
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dona","Rússia",102
